Car Velocity,Downforce(0kmph),Downforce(0kmph),Downforce(35kmph),Downforce(35kmph),Drag(0kmph) kgf,Drag(0kmph)
0,0,0,0,0,0,0
10,1,9.807,9,88.263,0,0
20,5,49.035,16,156.912,1,9.807
30,11,107.877,28,274.596,2,19.614
40,18,176.526,39,382.473,4,39.228
50,32,313.824,54,529.578,6,58.842
60,44,431.508,73,715.911,10,98.07
70,64,627.648,94,921.858,14,137.298
80,81,794.367,115,1127.805,17,166.719
90,104,1019.928,142,1392.594,22,215.754
100,127,1245.489,171,1676.997,27,264.789
110,155,1520.085,201,1971.207,33,323.631
120,184,1804.488,234,2294.838,40,392.28
130,214,2098.698,269,2638.083,47,460.929
140,250,2451.75,313,3069.591,54,529.578
150,291,2853.837,353,3461.871,62,608.034
160,327,3206.889,401,3932.607,69,676.683
170,377,3697.239,448,4393.536,79,774.753
180,420,4118.94,500,4903.5,88,863.016
190,469,4599.483,551,5403.657,98,961.086
200,525,5148.675,606,5943.042,109,1068.963
210,576,5648.832,665,6521.655,119,1167.033
220,638,6256.866,728,7139.496,130,1274.91
230,695,6815.865,793,7776.951,141,1382.787
240,755,7404.285,856,8394.792,143,1402.401
250,821,8051.547,924,9061.668,165,1618.155
260,880,8630.16,997,9777.579,178,1745.646
270,960,9414.72,1074,10532.718,192,1882.944
280,1031,10111.017,1144,11219.208,205,2010.435
290,1105,10836.735,1225,12013.575,215,2108.505
300,1181,11582.067,1305,12798.135,234,2294.838
310,1260,12356.82,1384,13572.888,248,2432.136
320,1343,13170.801,1466,14377.062,263,2579.241
330,1419,13916.133,1551,15210.657,278,2726.346
332,1450,14220.15,1598,15671.586,280,2745.96
340,,,,,,